epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,362.783,1.08706,7.09334,0.00928,0.00404,0.79744,0.11093,0.06745,0.86897,8.8869,0.01029,0.00124183,0.000413943,0.00124183,0.000413943,0.00124183,0.000413943,0.00124183,0.000413943
2,627.012,0.95941,6.2064,0.00819,0.90293,0.14096,0.25188,0.1863,0.89539,7.48201,0.01072,0.00166953,0.000556509,0.00166953,0.000556509,0.00166953,0.000556509,0.00166953,0.000556509
3,871.892,0.9541,5.03731,0.00803,0.72002,0.29928,0.31347,0.2304,0.94132,5.86047,0.01136,0.00127222,0.000424074,0.00127222,0.000424074,0.00127222,0.000424074,0.00127222,0.000424074
